Thailand,15.870032,100.992541
United States,37.09024,-95.712891
Germany,51.165691,10.451526
Australia,-25.274398,133.775136
Singapore,1.352083,103.819836
Sweden,60.12816100000001,18.643501
Japan,36.204824,138.252924
Netherlands,52.132633,5.291265999999999
United Kingdom,55.378051,-3.435973
Philippines,12.879721,121.774017
Kenya,-0.023559,37.906193
Switzerland,46.818188,8.227511999999999
Mexico,23.634501,-102.552784
Israel,31.046051,34.851612
Chile,-35.675147,-71.542969
Colombia,4.570868,-74.297333
China,35.86166,104.195397
Hong Kong,22.3193039,114.1693611
Indonesia,-0.789275,113.921327
Italy,41.87194,12.56738
Austria,47.516231,14.550072
Canada,56.130366,-106.346771
Myanmar,21.916221,95.955974
Malaysia,4.210484,101.975766
Taiwan,23.69781,120.960515
Viet Nam,14.058324,108.277199
India,20.593684,78.96288
South Korea,35.907757,127.766922
Poland,51.919438,19.145136
Russian Federation,61.52401,105.318756
Finland,61.92410999999999,25.748151
France,46.227638,2.213749
Sri Lanka,7.873053999999999,80.77179699999999
,,
Laos,19.85627,102.495496
Slovakia,48.669026,19.699024
Brazil,-14.235004,-51.92528
Belgium,50.503887,4.469936
Belarus,53.709807,27.953389
Czech Republic,49.81749199999999,15.472962
Portugal,39.39987199999999,-8.224454
Uganda,1.373333,32.290275
Morocco,31.791702,-7.092619999999999
Cyprus,35.126413,33.429859
Jordan,30.585164,36.238414
Senegal,14.497401,-14.452362
Malawi,-13.254308,34.301525
South Africa,-30.559482,22.937506
Nepal,28.394857,84.12400799999999
Denmark,56.26392,9.501785
Lebanon,33.854721,35.862285
Norway,60.47202399999999,8.468945999999999
Spain,40.46366700000001,-3.74922
United Arab Emirates,23.424076,53.847818
Tunisia,33.886917,9.537499
Argentina,-38.416097,-63.61667199999999
Costa Rica,9.748916999999999,-83.753428
Iceland,64.963051,-19.020835
Greece,39.074208,21.824312
New Zealand,-40.900557,174.885971
Slovenia,46.151241,14.995463
Turkey,38.963745,35.243322
Bangladesh,23.684994,90.356331
Algeria,28.033886,1.659626
Peru,-9.189967,-75.015152
French Guiana,3.933889,-53.125782
Pakistan,30.375321,69.34511599999999
Zimbabwe,-19.015438,29.154857
Ireland,53.77975540000001,-7.3055309
Hungary,47.162494,19.503304
Cambodia,12.565679,104.990963
Saudi Arabia,23.885942,45.079162
Cameroon,7.369721999999999,12.354722
Kuwait,29.31166,47.481766
Moldova,47.411631,28.369885
Tanzania,-6.369028,34.888822
Iran,32.427908,53.688046
Egypt,26.820553,30.802498
Bulgaria,42.733883,25.48583
Swaziland,-26.522503,31.465866
Syrian Arab Republic,34.80207499999999,38.996815
Romania,45.943161,24.96676
Bhutan,27.514162,90.433601
Brunei Darussalam,4.535277,114.727669
Croatia,45.1,15.2
Guatemala,15.783471,-90.23075899999999
Nigeria,9.081999,8.675277
Belize,17.189877,-88.49765
Botswana,-22.328474,24.684866
Ghana,7.946527,-1.023194
Sudan,12.862807,30.217636
Bosnia and Herzegovina,43.915886,17.679076
Serbia,44.016521,21.005859
Madagascar,-18.766947,46.869107
Congo,-0.228021,15.827659
Mongolia,46.862496,103.846656
Oman,21.4735329,55.975413
Puerto Rico,18.220833,-66.590149
Qatar,25.354826,51.183884
Ecuador,-1.831239,-78.18340599999999
Lithuania,55.169438,23.881275
Latvia,56.879635,24.603189
Dominican Republic,18.735693,-70.162651
Luxembourg,49.815273,6.129582999999999
Georgia,42.315407,43.35689199999999
Armenia,40.069099,45.038189
Estonia,58.595272,25.013607
Ukraine,48.379433,31.16558
Papua New Guinea,-6.314992999999999,143.95555
Malta,35.937496,14.375416
Panama,8.537981,-80.782127
Dominica,15.414999,-61.37097600000001
Afghanistan,33.93911,67.709953
Liechtenstein,47.14103919999999,9.520935000000001
Nicaragua,12.865416,-85.207229
Democratic Republic Congo,-4.038333,21.758664
Niger,17.607789,8.081666
Angola,-11.202692,17.873887
Central African Republic,6.611110999999999,20.939444
Chad,15.454166,18.732207
Togo,8.619543,0.824782
Macao,22.198745,113.543873
Gabon,-0.803689,11.609444
Uruguay,-32.522779,-55.765835
Jamaica,18.109581,-77.297508
Bolivia,-16.290154,-63.58865299999999
Libya,26.3351,17.228331
Ethiopia,9.145000000000001,40.489673
Uzbekistan,41.377491,64.585262
Namibia,-22.95764,18.49041
Bahrain,26.0667,50.5577
Venezuela,6.42375,-66.58973
Cote d'Ivoire,7.539988999999999,-5.547079999999999
